,Fecha,Estacion_de_Servicio,Producto,Vehiculo,Equipo/Placa,Cantidad_Galones,Costo_Total_ACPM,Actividad_Equipo
145,2023-01-23,EDS EL REFUGIO,ACPM,D-MAX,75IJAH,6.158,43937.33,MINERIA
146,2023-01-23,EDS EL REFUGIO,ACPM,MAQUINARIA,EQUIPO 07,59.0,420965.0,RENTA
147,2023-01-24,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,16.0,114160.0,MINERIA
148,2023-01-24,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,220.0,1569700.0,MINERIA
149,2023-01-24,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,59.0,420965.0,MINERIA
150,2023-01-24,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,118.0,841930.0,MINERIA
151,2023-01-24,EDS EL REFUGIO,CORRIENTE,HILUX,BKT 858,13.102,113017.852,MINERIA
152,2023-01-24,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,500.0,3567500.0,MINERIA
153,2023-01-24,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,500.0,3567500.0,MINERIA
154,2023-01-24,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,500.0,3567500.0,MINERIA
155,2023-01-24,EDS EL REFUGIO,ACPM,MAQUINARIA,EQUIPO 07,59.0,420965.0,RENTA
156,2023-01-25,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,500.0,3567500.0,MINERIA
157,2023-01-25,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,500.0,3567500.0,MINERIA
158,2023-01-25,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,500.0,3567500.0,MINERIA
159,2023-01-27,EDS EL REFUGIO,ACPM,MAQUINARIA,EQUIPO 07,59.0,555249.0,RENTA
160,2023-01-27,EDS EL REFUGIO,CORRIENTE,HILUX,BKT 858,11.378,98146.628,MINERIA
161,2023-01-28,EDS EL REFUGIO,ACPM,MAQUINARIA,EQUIPO 07,180.0,1693980.0,RENTA
162,2023-02-01,EDS TORRASA,ACPM,VOLQUETA,UFZ 553,109.156,771623.7640000001,MINERIA
163,2023-02-01,EDS TORRASA,ACPM,VOLQUETA,JSL 245,50.61,359280.39,MINERIA
164,2023-02-03,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,59.324,421141.076,MINERIA
165,2023-02-04,EDS TORRASA,ACPM,VOLQUETA,XMD 331,62.931,446747.169,MINERIA
166,2023-02-05,EDS TORRASA,ACPM,VOLQUETA,XMD 367,65.516,465098.08400000003,MINERIA
167,2023-02-05,EDS TORRASA,ACPM,VOLQUETA,XMD 331,76.669,544273.231,MINERIA
168,2023-02-05,EDS TORRASA,ACPM,VOLQUETA,UFZ 553,100.507,713499.1930000001,MINERIA
169,2023-02-08,EDS TORRASA,ACPM,VOLQUETA,XMD 367,59.999,425932.901,MINERIA
170,2023-02-09,EDS TORRASA,ACPM,VOLQUETA,JSL 245,40.008,284016.792,MINERIA
171,2023-02-10,EDS TORRASA,ACPM,VOLQUETA,UYZ 028,59.295,420935.205,MINERIA
172,2023-02-11,EDS TORRASA,ACPM,VOLQUETA,XMD 367,73.0,518227.0,MINERIA
173,2023-02-11,EDS TORRASA,ACPM,VOLQUETA,JSL 245,55.357,392979.343,MINERIA
174,2023-02-11,EDS TORRASA,ACPM,VOLQUETA,UFZ 553,90.312,641124.888,MINERIA
